  Especie,Desove,LT,Fec
Abudefduf saxatilis,Demersal,108.75,31088
Acanthochromis polyacanthus,Demersal,122.0031,402.253
Acanthochromis polyacanthus,Demersal,122.0243,343.1927
Acanthochromis polyacanthus,Demersal,125.0132,496.6442
Acanthochromis polyacanthus,Demersal,125.0349,425.4554
Acanthochromis polyacanthus,Demersal,127.0085,520.3739
Acanthochromis polyacanthus,Demersal,127.0153,325.791
Acanthochromis polyacanthus,Demersal,130.0049,459.7315
Acanthochromis polyacanthus,Demersal,130.008,369.559
Acanthochromis polyacanthus,Demersal,130.0115,270.9492
Acanthochromis polyacanthus,Demersal,132.0085,245.6376
Acanthochromis polyacanthus,Demersal,132.0203,459.2042
Acanthochromis polyacanthus,Demersal,132.026,296.2608
Acanthochromis polyacanthus,Demersal,132.0414,402.7804
Acanthochromis polyacanthus,Demersal,137.0259,573.1064
Acanthochromis polyacanthus,Demersal,137.027,541.9942
Acanthoclinus fuscus,Demersal,329.73,102700
Acanthoclinus fuscus,Demersal,342.17,42756
Acanthoclinus fuscus,Demersal,356.25,137990
Acanthoclinus fuscus,Demersal,364.08,356024
Acanthoclinus fuscus,Demersal,375.28,361220
Acanthoclinus fuscus,Demersal,389.96,308669
Acanthoclinus fuscus,Demersal,415.43,438961
Acanthopagrus latus,Pelagico,275,1362137
Acanthopagrus latus,Pelagico,290,1867660
Acanthopagrus latus,Pelagico,303,1883626
Acanthopagrus latus,Pelagico,307,2152993
Acanthopagrus latus,Pelagico,318,1790753
Aidablennius sphynx,Demersal,44,655
Amblygaster sirm,Pelagico,190,25882
Amblygaster sirm,Pelagico,190,48306
Amblygaster sirm,Pelagico,191,30116
Amblygaster sirm,Pelagico,191,31239
Amblygaster sirm,Pelagico,191,39446
Amblygaster sirm,Pelagico,192,25966
Amblygaster sirm,Pelagico,195,21984
Amblygaster sirm,Pelagico,195,26448
Amblygaster sirm,Pelagico,195,27733
Amblygaster sirm,Pelagico,196,46979
Amblygaster sirm,Pelagico,200,20281
Amblygaster sirm,Pelagico,200,22320
Amblygaster sirm,Pelagico,200,37446
Amblygaster sirm,Pelagico,204,26467
Amblygaster sirm,Pelagico,204,28967
Amblygaster sirm,Pelagico,204,61830
Amblygaster sirm,Pelagico,204,63139
Amblygaster sirm,Pelagico,204,69103
Amblygaster sirm,Pelagico,204,85921
Amblygaster sirm,Pelagico,209,24553
Amblygaster sirm,Pelagico,209,52180
Amblygaster sirm,Pelagico,209,68707
Amblygaster sirm,Pelagico,209,78037
Amblygaster sirm,Pelagico,209,89187
Amblygaster sirm,Pelagico,214,89331
Amblygaster sirm,Pelagico,214,91033
Amblygaster sirm,Pelagico,218,125372
Amblygaster sirm,Pelagico,218,128588
Amblygaster sirm,Pelagico,219,27214
Amblygaster sirm,Pelagico,219,121563
Amblygaster sirm,Pelagico,223,93325
Amblygaster sirm,Pelagico,223,132160
Amblygaster sirm,Pelagico,224,140411
Aphanopus carbo,Pelagico,1151,228950
Aphanopus carbo,Pelagico,1172,330770
Aphanopus carbo,Pelagico,1193,393990
Aphanopus carbo,Pelagico,1213,418620
Aphanopus carbo,Pelagico,1231,306400
Aphanopus carbo,Pelagico,1252,341550
Aphanopus carbo,Pelagico,1273,403020
Aphanopus carbo,Pelagico,1292,392550
Aphanopus carbo,Pelagico,1313,469810
Aphanopus carbo,Pelagico,1333,445310
Aphanopus carbo,Pelagico,1354,559410
Aphanopus carbo,Pelagico,1374,545440
Aphanopus carbo,Pelagico,1397,677090
Aphanopus carbo,Pelagico,1440,961440
Archosargus rhomboidalis,Pelagico,89.881,18274
Archosargus rhomboidalis,Pelagico,94.95,21037
Archosargus rhomboidalis,Pelagico,105.091,29015
Archosargus rhomboidalis,Pelagico,122.772,52006
Archosargus rhomboidalis,Pelagico,124.687,23888
Archosargus rhomboidalis,Pelagico,127.46,21592
Archosargus rhomboidalis,Pelagico,128.613,26982
Archosargus rhomboidalis,Pelagico,130.781,54107
Archosargus rhomboidalis,Pelagico,141.19,25636
Archosargus rhomboidalis,Pelagico,147.603,51440
Archosargus rhomboidalis,Pelagico,147.936,55035
Archosargus rhomboidalis,Pelagico,154.139,52238
Archosargus rhomboidalis,Pelagico,157.578,57294
Archosargus rhomboidalis,Pelagico,159.689,49442
Archosargus rhomboidalis,Pelagico,162.233,106640
Archosargus rhomboidalis,Pelagico,163.293,55642
Archosargus rhomboidalis,Pelagico,174.208,37303
Archosargus rhomboidalis,Pelagico,181.006,98410
Archosargus rhomboidalis,Pelagico,184.74,84016
Archosargus rhomboidalis,Pelagico,190.2,126167
Archosargus rhomboidalis,Pelagico,191.333,119789
Archosargus rhomboidalis,Pelagico,200.546,158988
Archosargus rhomboidalis,Pelagico,202.346,161107
Arnoglossus laterna,Pelagico,66,7092
Arnoglossus laterna,Pelagico,103,59574
Artediellus atlanticus,Demersal,133,88.5
Atherina presbyter,Demersal,64.4102,1122
Atherina presbyter,Demersal,69.8748,935
Atherina presbyter,Demersal,70.5015,1461
Atherina presbyter,Demersal,71.9957,1504
Atherina presbyter,Demersal,74.7715,1462
Atherina presbyter,Demersal,75.5988,1274
Atherina presbyter,Demersal,76.4055,1726
Atherina presbyter,Demersal,80.4716,1860
Atherina presbyter,Demersal,89.4676,1894
Atherina presbyter,Demersal,92.4425,2410
Atherina presbyter,Demersal,95.3307,1950
Atherina presbyter,Demersal,96.3433,2370
Atherina presbyter,Demersal,99.3215,3479
Atherina presbyter,Demersal,99.4329,3156
Atherina presbyter,Demersal,99.4439,4061
Atherina presbyter,Demersal,100.4759,2847
Atherina presbyter,Demersal,105.4801,5379
Atherina presbyter,Demersal,106.7163,5473
Atherina presbyter,Demersal,106.7612,3793
Atherina presbyter,Demersal,106.854,7288
Atherina presbyter,Demersal,109.8083,5897
Atherina presbyter,Demersal,112.0253,9167
Atherina presbyter,Demersal,113.2472,5634
Atherina presbyter,Demersal,113.3083,5111
Atherina presbyter,Demersal,114.3705,5290
Atherina presbyter,Demersal,114.5897,7766
Atherina presbyter,Demersal,115.5255,7461
Atherina presbyter,Demersal,115.6566,6965
Atherina presbyter,Demersal,116.8245,9766
Atherina presbyter,Demersal,118.1863,8611
Atherina presbyter,Demersal,121.545,10227
Atherina presbyter,Demersal,122.8967,10170
Atherina presbyter,Demersal,126.7545,11407
Auxis rochei,Pelagico,295,75000
Bairdiella chrysoura,Pelagico,140,52800
Balistes capriscus,Dispersador,231.64,289606
Balistes capriscus,Dispersador,232.538,32919
Balistes capriscus,Dispersador,242.031,326457
Balistes capriscus,Dispersador,242.141,39556
Balistes capriscus,Dispersador,249.734,417191
Balistes capriscus,Dispersador,250.412,39699
Balistes capriscus,Dispersador,254.029,348236
Balistes capriscus,Dispersador,254.144,46235
Balistes capriscus,Dispersador,259.854,466980
Balistes capriscus,Dispersador,260.279,52812
Balistes capriscus,Dispersador,265.985,482186
Balistes capriscus,Dispersador,266.0342,569900
Balistes capriscus,Dispersador,266.413,59390
Balistes capriscus,Dispersador,267.376,333366
Balistes capriscus,Dispersador,267.896,367890
